point_addr_hex,logical_name,rw,value_type,scale_divisor,units,min_raw,max_raw,enum_name,notes
0x0050,CRSS,R,u16,,percent,0,100,,type=NumericSpecial; models=0|1|10|11|12|17|2|21|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VRP5000W1000W|VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x0051,HeartbeatDelay,R,u16,,minute,0,,,name=Heartbeat Delay; type=NumericNoStale; models=0|1|10|11|12|17|2|21|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|80|81|82|83|84|85|86|87|9; modelNames=VRP5000W1000W|VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W|VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1000,ReturnAirTemp,R,scaled-int,10,fahrenheit,-400,1220,,name=Return Air Temperature; models=80|82|84|86|87; modelNames=VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1000,RoomTemp,RW,scaled-int,10,fahrenheit,-400,1220,,name=Room Temperature; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|81|83|85|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x1001,OutdoorTemp,RW,scaled-int,10,fahrenheit,-400,1220,,name=Outdoor Temperature; models=0|1|10|11|12|17|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|6|60|61|81|83|85|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7301F5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7607B5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VT7657B5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W|VZ7200F5x00W|VZ7260C5x00W|VZ7260F5x00W
0x1001,OutdoorTemp,RW,scaled-int,10,fahrenheit,-400,1500,,name=Outdoor Temperature; models=80|82|84|86|87; modelNames=VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
0x1002,RoomHumidity,RW,scaled-int,10,percent relative humidity,50,900,,name=Room Humidity; models=43|45|47|49|53|55; modelNames=VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1002,RoomHumidity,RW,scaled-int,10,percent relative humidity,100,900,,name=Room Humidity; models=0|17|25|26; modelNames=VT7600W5x00W|VT7607B5x00W|VT7652W5x00W|VT7657B5x00W
0x1003,SupplyTemp,R,scaled-int,10,fahrenheit,-400,1220,,name=Supply Temperature; models=1|10|11|12|2|23|24|25|26|28|30|4|41|42|43|44|45|46|47|48|49|50|51|53|54|55|56|6|60|61|9; modelNames=VT7200C5x00W|VT7200F5x00W|VT7300A5x00W|VT7300C5x00W|VT7300F5x00W|VT7300M5x00W|VT7305A5x00W|VT7305C5x00W|VT7305F5x00W|VT7350C5x00W|VT7350F5x00W|VT7355C5x00W|VT7355F5x00W|VT7600A5x00W|VT7600B5x00W|VT7600F5x00W|VT7600H5x00W|VT7600W5x00W|VT7605B5x00W|VT7606E5x00W|VT7652A5x00W|VT7652B5x00W|VT7652F5x00W|VT7652H5x00W|VT7652W5x00W|VT7656B5x00W|VT7656E5x00W|VTR7300A5x00W|VTR7305A5x00W|VTR7350A5x00W|VTR7355A5x00W
0x1003,SupplyTemp,R,scaled-int,10,fahrenheit,-400,1500,,name=Supply Temperature; models=80|82|84|86|87; modelNames=VZ7656B1000W|VZ7656E1000W|VZ7656F1000W|VZ7656H1000W|VZ7656R1000W
